Model,Model_Version,Rank,Feature,SHAP_Importance
MLP,unknown,38,Tz_peak_frequency,0.002399728440
MLP,unknown,39,Fz_mean_abs,0.002379484323
MLP,unknown,40,Fz_kurtosis,0.002307119520
MLP,unknown,41,Ty_rms,0.002285080756
MLP,unknown,42,Ty_skewness,0.002200561320
MLP,unknown,43,Tx_last,0.002156768680
MLP,unknown,44,Fx_kurtosis,0.002139812510
MLP,unknown,45,Fz_power,0.002138123951
MLP,unknown,46,Tz_iqr,0.001663932780
MLP,unknown,47,Ty_max,0.001588213818
MLP,unknown,48,Fx_cv,0.001501761519
MLP,unknown,49,Tz_rms,0.001457803826
MLP,unknown,50,Fz_max,0.001426532591
MLP,unknown,51,Fx_peak_to_peak,0.001372940948
MLP,unknown,52,Ty_cv,0.001321730717
MLP,unknown,53,Ty_power,0.001281214435
MLP,unknown,54,Ty_energy,0.001245156440
MLP,unknown,55,Fx_skewness,0.001216905353
MLP,unknown,56,Fz_variance,0.001209331959
MLP,unknown,57,Fx_mean_abs,0.001155692868
MLP,unknown,58,Fy_p90,0.001142117168
MLP,unknown,59,Ty_iqr,0.001103032719
MLP,unknown,60,Fz_mean,0.001049462152
MLP,unknown,61,Fz_iqr,0.001018879775
MLP,unknown,62,Fx_crest_factor,0.000951741866
MLP,unknown,63,Fy_mean_abs,0.000949551287
MLP,unknown,64,Ty_min,0.000934053476
MLP,unknown,65,Tx_max,0.000923670218
MLP,unknown,66,Fy_median,0.000880113593
MLP,unknown,67,Tz_slope,0.000842939141
MLP,unknown,68,Tz_max,0.000824989802
MLP,unknown,69,Fx_max,0.000811743713
MLP,unknown,70,Fx_shape_factor,0.000718780539
MLP,unknown,71,Fy_first,0.000705681212
MLP,unknown,72,Ty_peak_to_peak,0.000647683992
MLP,unknown,73,Tz_shape_factor,0.000622413490
MLP,unknown,74,Ty_variance,0.000592866604
MLP,unknown,75,Tx_cv,0.000578977174
MLP,unknown,76,Fx_iqr,0.000578900201
MLP,unknown,77,Tx_p90,0.000559687617
MLP,unknown,78,Tz_skewness,0.000531983447
MLP,unknown,79,Fx_entropy,0.000478408013
MLP,unknown,80,Fy_min,0.000471345578
MLP,unknown,81,Ty_last,0.000468838037
MLP,unknown,82,Fy_mean,0.000447319792
MLP,unknown,83,Tx_iqr,0.000441321688
MLP,unknown,84,Fx_p90,0.000422010439
MLP,unknown,85,Tz_crest_factor,0.000407078400
MLP,unknown,86,Fz_slope,0.000381806938
MLP,unknown,87,Tx_entropy,0.000333425014
MLP,unknown,88,Tz_peak_to_peak,0.000321729482
MLP,unknown,89,Tz_mean_abs,0.000308145419
MLP,unknown,90,Ty_first,0.000299349336
MLP,unknown,91,Fy_std,0.000298256919
MLP,unknown,92,Fy_max,0.000283660896
MLP,unknown,93,Tz_energy,0.000274592559
MLP,unknown,94,Fx_rms,0.000273292904
MLP,unknown,95,Tz_mean,0.000258915301
MLP,unknown,96,Fz_energy,0.000240877148
MLP,unknown,97,Ty_slope,0.000222025839
MLP,unknown,98,Fy_variance,0.000220757297
MLP,unknown,99,Fy_rms,0.000199042144
MLP,unknown,100,Fz_median,0.000171798170
MLP,unknown,101,Fx_mean,0.000168171743
MLP,unknown,102,Tz_last,0.000168018090
MLP,unknown,103,Tx_skewness,0.000167031101
MLP,unknown,104,Fx_first,0.000166694824
MLP,unknown,105,Tx_median,0.000166216670
MLP,unknown,106,Tz_median,0.000164242040
MLP,unknown,107,Tz_cv,0.000163403931
MLP,unknown,108,Ty_std,0.000147780341
MLP,unknown,109,Fy_iqr,0.000141263555
MLP,unknown,110,Fx_median,0.000137750287
MLP,unknown,111,Ty_kurtosis,0.000134544805
MLP,unknown,112,Fx_last,0.000125230715
MLP,unknown,113,Fy_power,0.000121277488
MLP,unknown,114,Tx_peak_to_peak,0.000118183748
MLP,unknown,115,Ty_mean_abs,0.000114085091
MLP,unknown,116,Fy_skewness,0.000074026049
MLP,unknown,117,Fy_crest_factor,0.000050448477
MLP,unknown,118,Fx_std,0.000000000000
MLP,unknown,119,Fx_min,0.000000000000
MLP,unknown,120,Fx_energy,0.000000000000
