Model,Method,Method_Description,Rank,Feature,Importance_Score,Normalized_Score
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,93,Ty_energy,6.000000000000,0.093750000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,94,Fx_zero_crossing_rate,5.000000000000,0.078125000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,95,Fx_p90,5.000000000000,0.078125000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,96,Fx_crest_factor,5.000000000000,0.078125000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,97,Fx_peak_frequency,5.000000000000,0.078125000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,98,Tx_mean,5.000000000000,0.078125000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,99,Ty_mean_abs,5.000000000000,0.078125000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,100,Ty_zero_crossing_rate,5.000000000000,0.078125000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,101,Fx_kurtosis,4.000000000000,0.062500000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,102,Fx_peak_to_peak,4.000000000000,0.062500000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,103,Fy_skewness,4.000000000000,0.062500000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,104,Fy_shape_factor,4.000000000000,0.062500000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,105,Fz_p90,4.000000000000,0.062500000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,106,Tx_std,4.000000000000,0.062500000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,107,Tx_skewness,4.000000000000,0.062500000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,108,Ty_crest_factor,4.000000000000,0.062500000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,109,Tz_median,4.000000000000,0.062500000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,110,Tz_crest_factor,4.000000000000,0.062500000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,111,Fx_power,3.000000000000,0.046875000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,112,Fx_cv,3.000000000000,0.046875000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,113,Fy_zero_crossing_rate,3.000000000000,0.046875000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,114,Fy_variance,3.000000000000,0.046875000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,115,Fy_cv,3.000000000000,0.046875000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,116,Fz_median,3.000000000000,0.046875000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,117,Tx_kurtosis,3.000000000000,0.046875000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,118,Ty_mean,3.000000000000,0.046875000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,119,Ty_skewness,3.000000000000,0.046875000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,120,Tz_zero_crossing_rate,3.000000000000,0.046875000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,121,Fx_max,2.000000000000,0.031250000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,122,Fx_median,2.000000000000,0.031250000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,123,Fy_std,2.000000000000,0.031250000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,124,Fy_iqr,2.000000000000,0.031250000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,125,Fy_power,2.000000000000,0.031250000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,126,Fy_last,2.000000000000,0.031250000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,127,Tx_iqr,2.000000000000,0.031250000000
LightGBM,sklearn_gain,LightGBM native importance via sklearn interface,128,Fy_min,1.000000000000,0.015625000000
