Model,Rank,Feature,Overall_SHAP_Importance,SHAP_Score_Class_collision,SHAP_Score_Class_normal,SHAP_Score_Class_obstruction
MLP,17,Fz_last,0.009646885992,0.011591906633,0.000000000000,0.017348751344
MLP,18,Fy_peak_frequency,0.009013906172,0.012941227888,0.014100490629,0.000000000000
MLP,19,Fx_crest_factor,0.008391122451,0.011169739854,0.013562451424,0.000441176075
MLP,20,Fz_first,0.008202106042,0.007020723476,0.000000000000,0.017585594649
MLP,21,Ty_zero_crossing_rate,0.007097753259,0.010322867369,0.010680342341,0.000290050067
MLP,22,Tz_kurtosis,0.006674979931,0.008733270927,0.011291668866,0.000000000000
MLP,23,Tz_peak_frequency,0.006444592344,0.004708006449,0.011928848864,0.002696921719
MLP,24,Fx_kurtosis,0.006045062169,0.010849569785,0.005174546321,0.002111070401
MLP,25,Tx_zero_crossing_rate,0.005600445288,0.001651544515,0.004810673709,0.010339117641
MLP,26,Tz_mean_abs,0.005564857991,0.003509337951,0.000754597459,0.012430638563
MLP,27,Fy_max,0.005463886016,0.003116665389,0.002078180697,0.011196811962
MLP,28,Ty_skewness,0.005001533075,0.007583633201,0.003840728490,0.003580237535
MLP,29,Fz_kurtosis,0.004648173544,0.007410206033,0.002561994045,0.003972320555
MLP,30,Tx_std,0.003494116909,0.001539438906,0.001490558044,0.007452353778
MLP,31,Ty_iqr,0.003163057395,0.006073748490,0.002295324079,0.001120099617
MLP,32,Fx_rms,0.002794100640,0.002427887488,0.000656713586,0.005297700845
MLP,33,Ty_p90,0.002765854001,0.001397068635,0.004241217587,0.002659275783
MLP,34,Fz_skewness,0.002265968073,0.001955465041,0.000424215144,0.004418224032
MLP,35,Fz_slope,0.001868325395,0.000631638716,0.002368296832,0.002605040637
MLP,36,Tx_min,0.001808642907,0.001366670940,0.001052098301,0.003007159480
MLP,37,Fx_max,0.001448487062,0.002284275881,0.000000000000,0.002061185306
MLP,38,Ty_max,0.001316581288,0.002177863292,0.001305611390,0.000466269181
MLP,39,Fx_shape_factor,0.000924714540,0.001298585315,0.000000000000,0.001475558304
MLP,40,Fy_mean,0.000903061337,0.002036256483,0.000000000000,0.000672927527
MLP,41,Tz_crest_factor,0.000529455815,0.001022745840,0.000000000000,0.000565621604
MLP,42,Tz_last,0.000521567472,0.000477621220,0.000108296671,0.000978784526
MLP,43,Tx_iqr,0.000462809839,0.000903193244,0.000000000000,0.000485236273
MLP,44,Fy_shape_factor,0.000370670770,0.000357175613,0.000754836697,0.000000000000
MLP,45,Ty_kurtosis,0.000325179903,0.000390023293,0.000585516415,0.000000000000
MLP,46,Tz_shape_factor,0.000197470183,0.000000000000,0.000000000000,0.000592410549
MLP,47,Tz_p90,0.000169493113,0.000000000000,0.000508479340,0.000000000000
MLP,48,Tx_mean,0.000096386744,0.000289160232,0.000000000000,0.000000000000
MLP,49,Tx_slope,0.000000000000,0.000000000000,0.000000000000,0.000000000000
MLP,50,Tx_max,0.000000000000,0.000000000000,0.000000000000,0.000000000000
MLP,51,Ty_min,0.000000000000,0.000000000000,0.000000000000,0.000000000000
MLP,52,Tz_median,0.000000000000,0.000000000000,0.000000000000,0.000000000000
MLP,53,Ty_last,0.000000000000,0.000000000000,0.000000000000,0.000000000000
MLP,54,Fz_cv,0.000000000000,0.000000000000,0.000000000000,0.000000000000
LightGBM,1,Fz_min,1.016213176456,0.556166657764,0.298084926437,2.194387945167
LightGBM,2,Fx_rms,0.617153058208,0.208618918136,1.297250456811,0.345589799676
LightGBM,3,Fz_slope,0.481671464106,0.362593402601,0.403847303535,0.678573686183
LightGBM,4,Ty_iqr,0.380123603725,0.606602558013,0.473792982758,0.059975270405
LightGBM,5,Tx_rms,0.338779252357,0.082253783863,0.201195492883,0.732888480325
LightGBM,6,Fy_max,0.234397319658,0.051046453512,0.560286935347,0.091858570115
LightGBM,7,Fx_max,0.232141201771,0.087992920430,0.579544646930,0.028886037952
LightGBM,8,Ty_p90,0.215057833452,0.279681814675,0.320952711659,0.044538974021
LightGBM,9,Tz_mean_abs,0.193007531889,0.049794989827,0.013304431304,0.515923174537
LightGBM,10,Fz_first,0.179998587031,0.000000000000,0.477917968887,0.062077792206
LightGBM,11,Tx_std,0.178730080221,0.025182204676,0.511008035988,0.000000000000
LightGBM,12,Ty_min,0.175983081320,0.493275285363,0.020074517925,0.014599440672
